1488175872.00,0.00,3.00,7.50,45.00,2.20,15.00,6.00,45.00,95.00,22.10,0.00,0.00,90277.00,1.20,-19.09,22.37,969.90,12.00,270217.00,6105300.00,1760290.00
1488181376.00,90.00,4.70,6.50,0.00,0.10,0.00,6.50,0.00,89.20,23.10,0.00,0.00,90294.00,3.03,0.00,0.00,0.00,0.00,0.00,0.00,924.00
1488184448.00,23.00,6.00,13.50,45.00,6.20,35.00,13.50,45.00,85.20,24.50,0.00,0.00,90311.25,3.06,-19.09,22.37,957.10,10.00,270217.00,8340500.00,1161828.00
1488191232.00,90.00,6.00,15.00,68.00,5.90,52.00,12.00,45.00,79.60,25.50,0.00,0.00,90320.00,2.99,-19.09,22.37,976.50,9.00,270217.00,10270800.00,1451755.00
1488198656.00,0.00,2.90,12.00,45.00,1.40,350.00,7.50,45.00,68.20,27.40,0.00,0.00,90062.00,3.04,-19.09,22.37,970.40,9.00,270217.00,12311200.00,1535374.00
1488204544.00,225.00,2.30,2.30,225.00,0.00,359.00,2.30,225.00,63.10,28.80,0.00,0.00,89947.75,3.05,0.00,0.00,0.00,0.00,0.00,0.00,1006.00
1488207744.00,225.00,1.50,7.90,225.00,0.20,279.00,3.00,315.00,67.10,28.40,0.00,0.00,89942.00,2.44,-19.09,22.37,973.90,12.00,270217.00,15013300.00,1160750.00
1488209536.00,0.00,0.80,1.90,0.00,0.00,0.00,1.90,0.00,63.40,28.10,0.00,0.00,89949.00,3.05,0.00,0.00,0.00,0.00,0.00,0.00,964.00
1488213376.00,45.00,4.50,7.50,90.00,1.60,348.00,7.50,90.00,87.20,24.20,0.01,0.01,90047.00,0.05,-19.09,22.37,973.60,9.00,270217.00,16351700.00,1455638.00
1488220800.00,270.00,0.00,1.50,180.00,0.00,270.00,0.00,0.00,97.30,22.70,0.00,0.00,90174.00,0.00,-19.09,22.37,973.80,10.00,270217.00,18393600.00,1751122.00
1488228224.00,158.00,0.00,4.50,225.00,0.20,260.00,3.00,315.00,96.30,22.20,0.00,0.00,90264.00,0.00,-19.09,22.37,967.60,12.00,270217.00,20440400.00,1785059.00
1488232448.00,23.00,2.30,2.30,23.00,0.00,0.00,2.30,23.00,103.00,21.00,0.00,0.00,90274.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1098.00
1488235520.00,45.00,4.50,9.00,0.00,4.70,36.00,9.00,0.00,98.20,21.70,0.00,0.00,90290.75,0.00,-19.09,22.37,969.40,10.00,270217.00,22445100.00,1128295.00
1488242944.00,0.00,3.00,7.50,0.00,2.00,18.00,4.50,0.00,98.60,22.20,0.00,0.00,90191.00,0.00,-19.09,22.37,966.20,11.00,280217.00,484500.00,881597.00
1488250368.00,45.00,6.00,11.90,45.00,5.20,42.00,10.50,0.00,98.60,21.40,0.00,0.00,90195.75,0.00,-19.09,22.37,969.30,12.00,280217.00,2531700.00,1853534.00
1488258560.00,90.00,5.30,5.60,45.00,0.10,1.00,5.60,45.00,98.80,21.40,0.00,0.00,90315.25,1.14,0.00,0.00,0.00,0.00,0.00,0.00,998.00
1488261760.00,45.00,12.00,18.00,90.00,10.10,45.00,16.50,45.00,90.30,22.60,0.00,0.00,90361.50,2.37,-19.09,22.37,966.90,12.00,280217.00,6014300.00,1217131.00
1488267520.00,45.00,7.70,7.70,45.00,0.10,1.00,7.70,45.00,85.00,23.90,0.00,0.00,90461.50,3.10,0.00,0.00,0.00,0.00,0.00,0.00,998.00
1488270464.00,45.00,10.50,17.90,45.00,7.30,48.00,14.90,45.00,79.30,24.70,0.00,0.00,90436.50,3.05,-19.09,22.37,965.60,11.00,280217.00,8283800.00,1187068.00
1488277504.00,45.00,10.50,19.40,45.00,10.30,43.00,18.00,45.00,72.40,26.20,0.00,0.00,90367.00,3.06,-19.09,22.37,981.30,10.00,280217.00,10251700.00,1596957.00
