ATLAS: 1491270421,256.00,502.90,181.31,0.76,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491270626,256.00,502.60,181.15,0.77,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491270832,256.00,502.30,181.19,0.78,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491271037,256.00,501.60,180.99,0.79,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491271237,256.00,501.50,181.02,0.80,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491271442,256.00,501.10,180.95,0.80,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491271648,256.00,500.60,180.99,0.81,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491271853,256.00,500.20,181.07,0.81,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491272063,256.00,499.90,181.89,0.77,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491272268,256.00,499.40,181.09,0.80,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491272474,256.00,499.10,180.63,0.82,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491272679,256.00,498.60,180.54,0.83,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491272885,256.00,497.90,180.28,0.85,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491273090,256.00,497.70,180.30,0.86,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491273296,256.00,497.10,180.23,0.86,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491273501,256.00,496.50,179.92,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491273707,256.00,496.10,179.82,0.88,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491273912,256.00,495.80,179.75,0.89,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491274118,256.00,495.40,179.81,0.90,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491274323,256.00,495.10,179.44,0.91,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491274498,256.00,494.80,179.67,0.91,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491274703,256.00,494.30,179.88,0.90,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491274909,256.00,493.80,179.81,0.91,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
ATLAS: 1491275114,256.00,493.80,179.99,0.91,0.00,0.00,0.00,1.00,-1000.00,0.00,0.00,0.00
