1491383424.00,270.00,4.30,53.10,315.00,4.00,270.00,53.10,315.00,88.30,10.60,nan,nan,18.88,18.88,98988.75,0.02,34.00,-117.36,242.30,5.00,50417.00,9093100.00,154809.00
1491383424.00,270.00,4.30,53.10,315.00,4.00,270.00,4.40,315.00,87.90,10.70,nan,nan,21.09,21.09,98984.00,0.03,34.00,-117.36,243.90,5.00,50417.00,9104100.00,177996.00
1491383552.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,315.00,87.60,10.80,nan,nan,23.30,23.30,98981.00,0.03,34.00,-117.36,246.60,6.00,50417.00,9114900.00,202158.00
1491383552.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,315.00,87.60,10.70,nan,nan,25.51,25.51,98972.25,0.02,34.00,-117.36,250.40,6.00,50417.00,9125900.00,227247.00
1491383680.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,270.00,88.20,10.80,nan,nan,27.72,27.72,98967.25,0.03,34.00,-117.36,251.60,7.00,50417.00,9140900.00,252160.00
1491383680.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,270.00,87.70,10.80,nan,nan,29.93,29.93,98964.25,0.02,34.00,-117.36,244.40,7.00,50417.00,9151900.00,277193.00
1491383808.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,270.00,87.80,10.80,nan,nan,32.14,32.14,98965.00,0.02,34.00,-117.36,250.10,8.00,50417.00,9162900.00,302390.00
1491383808.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,270.00,87.40,10.80,nan,nan,34.35,34.35,98965.25,0.02,34.00,-117.36,249.90,8.00,50417.00,9173700.00,327479.00
1491383936.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,270.00,87.20,10.80,nan,nan,36.30,36.30,98963.50,0.02,34.00,-117.36,246.80,8.00,50417.00,9184100.00,348528.00
1491383936.00,270.00,4.30,53.10,315.00,4.00,270.00,4.30,270.00,87.20,10.80,nan,nan,38.25,38.25,98960.25,0.02,34.00,-117.36,249.70,8.00,50417.00,9194300.00,370789.00
1491384064.00,270.00,4.30,53.10,315.00,4.00,278.00,4.30,270.00,86.80,10.80,nan,nan,40.19,40.19,98962.75,0.02,34.00,-117.36,249.00,7.00,50417.00,9204100.00,393658.00
1491384064.00,270.00,4.30,53.10,315.00,4.00,314.00,4.30,270.00,86.50,10.80,nan,nan,42.14,42.14,98964.25,0.02,34.00,-117.36,243.90,8.00,50417.00,9214600.00,415039.00
1491384192.00,270.00,4.30,53.10,315.00,4.00,350.00,4.30,270.00,87.00,10.80,nan,nan,44.09,44.09,98962.00,0.02,34.00,-117.36,244.20,7.00,50417.00,9224800.00,436881.00
1491384192.00,-1.00,4.30,53.10,315.00,4.00,359.00,4.30,270.00,86.60,10.80,nan,nan,46.04,46.04,98963.50,0.02,34.00,-117.36,244.90,9.00,50417.00,9234500.00,460090.00
1491384320.00,-1.00,4.30,53.10,315.00,4.00,359.00,4.30,270.00,86.80,10.80,nan,nan,47.98,47.98,98965.25,0.02,34.00,-117.36,245.50,9.00,50417.00,9245100.00,481243.00
1491384320.00,-1.00,4.30,53.10,315.00,4.00,359.00,4.30,270.00,86.60,10.80,nan,nan,49.93,49.93,98966.75,0.02,34.00,-117.36,246.70,9.00,50417.00,9255300.00,503493.00
1491384448.00,-1.00,4.30,53.10,315.00,4.00,359.00,4.30,270.00,86.30,10.80,nan,nan,51.88,51.88,98961.25,0.02,34.00,-117.36,243.20,9.00,50417.00,9265300.00,526480.00
1491384448.00,-1.00,4.30,53.10,315.00,4.00,359.00,4.30,270.00,85.80,10.80,nan,nan,53.82,53.83,98960.50,0.02,34.00,-117.36,242.60,9.00,50417.00,9275600.00,547608.00
1491384576.00,-1.00,4.30,53.10,315.00,4.00,359.00,4.30,-1.00,84.60,10.80,nan,nan,56.07,56.07,98960.75,0.02,34.00,-117.36,242.70,9.00,50417.00,9290700.00,573125.00
